Fichier,Nb_POIs,Nb_Capteurs,Faisable,Capteurs_Utilises,Temps_Execution(ms),Generation_Finale,Fitness
1.bmp,40,13,Non,5,13,0,0.371154
10.bmp,42,10,Non,5,12,0,0.399762
100.bmp,33,11,Non,3,8,0,0.300303
101.bmp,42,12,Non,4,12,0,0.35381
102.bmp,39,10,Non,7,10,0,0.377615
103.bmp,47,12,Non,4,12,0,0.400922
104.bmp,46,13,Non,6,14,0,0.408428
105.bmp,44,12,Non,5,12,0,0.427652
106.bmp,42,12,Non,5,12,0,0.352976
107.bmp,30,11,Non,2,8,0,0.364848
108.bmp,46,11,Non,5,13,1,0.386759
109.bmp,39,11,Non,5,12,3,0.38007
11.bmp,45,10,Non,3,10,0,0.374778
110.bmp,43,11,Non,4,11,0,0.368457
111.bmp,40,16,Non,6,14,0,0.29625
112.bmp,45,13,Non,3,13,0,0.442137
113.bmp,33,11,Non,4,9,0,0.36
114.bmp,45,12,Non,4,12,0,0.352222
115.bmp,41,12,Non,3,11,0,0.387744
116.bmp,40,13,Non,5,12,2,0.371154
117.bmp,44,11,Non,5,12,2,0.404545
118.bmp,41,12,Non,4,10,0,0.411301
119.bmp,43,11,Non,5,13,4,0.414059
12.bmp,37,12,Non,5,13,4,0.401239
120.bmp,45,10,Non,4,10,0,0.329333
121.bmp,33,10,Non,2,8,0,0.331333
122.bmp,43,12,Non,6,14,3,0.413605
123.bmp,38,11,Non,5,10,0,0.258612
124.bmp,35,12,Non,5,11,0,0.424405
125.bmp,41,11,Non,5,11,0,0.361308
126.bmp,38,11,Non,4,10,0,0.312153
127.bmp,46,10,Non,4,13,4,0.322087
128.bmp,46,9,Non,4,12,4,0.343382
129.bmp,35,11,Non,4,10,0,0.367792
13.bmp,41,10,Non,5,10,0,0.336463
130.bmp,45,13,Non,5,13,0,0.418376
131.bmp,40,12,Non,6,11,0,0.345
132.bmp,37,14,Non,5,12,0,0.401834
133.bmp,37,12,Non,5,12,0,0.320158
134.bmp,45,10,Non,5,13,5,0.395
135.bmp,44,11,Non,4,11,0,0.405455
136.bmp,37,10,Non,4,9,0,0.293297
137.bmp,43,11,Non,4,10,0,0.414968
138.bmp,41,12,Non,6,14,4,0.409634
139.bmp,35,11,Non,4,9,0,0.424935
14.bmp,41,11,Non,5,11,1,0.410089
140.bmp,45,11,Non,5,11,0,0.35101
141.bmp,33,10,Non,3,8,0,0.330333
142.bmp,35,10,Non,5,9,0,0.252143
143.bmp,34,12,Non,3,10,0,0.321029
144.bmp,39,14,Non,7,13,0,0.430897
145.bmp,42,11,Non,5,11,0,0.352597
146.bmp,38,11,Non,4,10,0,0.364785
147.bmp,41,12,Non,4,11,0,0.31374
148.bmp,34,11,Non,4,9,0,0.26107
149.bmp,35,13,Non,4,10,0,0.396923
15.bmp,36,14,Non,6,15,7,0.356825
150.bmp,45,12,Non,3,11,0,0.419722
151.bmp,44,10,Non,5,10,0,0.358636
152.bmp,28,12,Non,4,8,0,0.282381
153.bmp,43,12,Non,5,15,7,0.344671
154.bmp,43,11,Non,4,11,0,0.345201
155.bmp,35,12,Non,4,10,0,0.282381
156.bmp,38,11,Non,2,10,0,0.313971
157.bmp,39,11,Non,4,10,0,0.380979
158.bmp,43,14,Non,6,12,0,0.391063
159.bmp,44,12,Non,4,11,0,0.337576
16.bmp,44,12,Non,6,12,0,0.358636
160.bmp,37,12,Non,5,12,2,0.347185
161.bmp,29,10,Non,4,8,0,0.306345
162.bmp,43,9,Non,4,9,0,0.390904
17.bmp,42,12,Non,4,11,0,0.377619
18.bmp,47,10,Non,3,11,0,0.379979
19.bmp,29,14,Non,4,10,0,0.445419
2.bmp,47,13,Non,5,14,0,0.421686
20.bmp,39,12,Non,6,14,5,0.353974
21.bmp,42,13,Non,5,12,0,0.424725
22.bmp,43,14,Non,5,17,7,0.415033
23.bmp,39,11,Non,4,10,0,0.355338
24.bmp,42,12,Non,5,11,0,0.400595
25.bmp,45,14,Non,6,14,1,0.417937
26.bmp,43,14,Non,7,17,6,0.413605
27.bmp,38,12,Non,4,10,0,0.312456
28.bmp,33,11,Non,2,10,4,0.18
29.bmp,39,10,Non,5,11,4,0.353974
3.bmp,42,10,Non,6,10,0,0.327333
30.bmp,38,11,Non,4,10,0,0.364785
31.bmp,45,11,Non,5,13,2,0.373232
32.bmp,39,14,Non,6,12,0,0.431612
33.bmp,44,15,Non,7,13,0,0.404424
34.bmp,41,10,Non,5,11,3,0.385244
35.bmp,43,10,Non,5,10,0,0.390349
36.bmp,43,10,Non,4,10,0,0.368093
37.bmp,43,9,Non,3,9,0,0.392016
38.bmp,38,13,Non,4,11,0,0.312713
39.bmp,38,10,Non,4,9,0,0.390737
4.bmp,38,14,Non,4,12,0,0.312932
40.bmp,31,14,Non,5,12,3,0.448041
41.bmp,40,10,Non,3,9,0,0.372
42.bmp,42,9,Non,4,12,4,0.352698
43.bmp,41,13,Non,5,13,0,0.410788
44.bmp,46,11,Non,6,12,0,0.38585
45.bmp,45,11,Non,4,10,0,0.307475
46.bmp,42,13,Non,6,12,0,0.423956
47.bmp,42,11,Non,4,13,4,0.377316
48.bmp,39,11,Non,4,10,0,0.380979
49.bmp,31,11,Non,3,8,0,0.448886
5.bmp,35,10,Non,3,8,0,0.282714
50.bmp,31,12,Non,4,9,0,0.44828
51.bmp,47,14,Non,5,14,0,0.358131
52.bmp,32,12,Non,4,10,2,0.402917
53.bmp,42,11,Non,4,10,0,0.377316
54.bmp,32,11,Non,3,8,0,0.372273
55.bmp,46,11,Non,5,11,0,0.386759
56.bmp,39,11,Non,5,11,0,0.303147
57.bmp,31,12,Non,3,10,2,0.287823
58.bmp,31,12,Non,4,10,0,0.286989
59.bmp,46,13,Non,6,13,0,0.386689
6.bmp,43,9,Non,4,9,0,0.390904
60.bmp,27,11,Non,3,7,0,0.256532
61.bmp,35,10,Non,3,8,0,0.311286
62.bmp,44,12,Non,6,12,0,0.358636
63.bmp,47,13,Non,7,17,5,0.441424
64.bmp,44,13,Non,4,12,0,0.406014
65.bmp,44,11,Non,4,11,0,0.428182
66.bmp,43,9,Non,4,12,4,0.390904
67.bmp,37,13,Non,5,11,0,0.374532
68.bmp,43,10,Non,6,10,0,0.296326
69.bmp,45,11,Non,4,17,0,0.351919
7.bmp,34,11,Non,4,10,0,0.290481
70.bmp,40,14,Non,5,13,0,0.371429
71.bmp,37,10,Non,5,9,0,0.373378
72.bmp,29,14,Non,3,10,0,0.273719
73.bmp,35,12,Non,4,10,0,0.310952
74.bmp,45,12,Non,4,12,0,0.396667
75.bmp,27,11,Non,2,8,0,0.368552
76.bmp,31,10,Non,4,8,0,0.286323
77.bmp,44,13,Non,6,12,0,0.381748
78.bmp,35,12,Non,3,10,0,0.283214
79.bmp,43,10,Non,6,11,0,0.342837
8.bmp,47,13,Non,5,13,0,0.379133
80.bmp,37,11,Non,4,9,0,0.374742
81.bmp,31,11,Non,3,8,0,0.38437
82.bmp,45,14,Non,5,14,0,0.440873
83.bmp,39,13,Non,4,11,0,0.381538
84.bmp,44,12,Non,4,11,0,0.38303
85.bmp,40,12,Non,6,11,0,0.345
86.bmp,41,12,Non,5,14,5,0.386077
87.bmp,45,13,Non,5,13,0,0.373932
88.bmp,42,12,Non,3,11,0,0.378452
89.bmp,42,10,Non,4,10,0,0.329333
9.bmp,42,11,Non,5,10,0,0.376407
90.bmp,34,9,Non,3,9,4,0.202549
91.bmp,44,13,Non,3,13,0,0.452238
92.bmp,46,9,Non,4,11,0,0.343382
93.bmp,43,11,Non,3,10,0,0.34611
94.bmp,45,14,Non,6,13,0,0.373492
95.bmp,41,13,Non,6,14,0,0.385629
96.bmp,34,12,Non,4,10,0,0.231961
97.bmp,47,12,Non,6,13,0,0.356702
98.bmp,35,12,Non,4,10,0,0.396667
99.bmp,42,11,Non,4,12,3,0.377316
